iter	Passed	Remaining
0	150	150751
1	152	76101
2	153	51068
3	154	38556
4	156	31126
5	157	26109
6	158	22525
7	160	19886
8	161	17828
9	164	16276
10	165	14900
11	167	13752
12	168	12794
13	169	11957
14	171	11233
15	172	10594
16	174	10071
17	175	9574
18	177	9171
19	179	8810
20	180	8434
21	182	8106
22	183	7802
23	185	7532
24	186	7274
25	188	7056
26	189	6832
27	190	6623
28	192	6455
29	194	6294
30	195	6124
31	197	5970
32	199	5834
33	201	5730
34	203	5600
35	204	5479
36	206	5378
37	207	5265
38	209	5156
39	211	5081
40	213	4987
41	214	4894
42	215	4802
43	217	4715
44	218	4633
45	219	4562
46	221	4485
47	222	4414
48	224	4347
49	225	4287
50	227	4225
51	229	4177
52	231	4131
53	233	4084
54	234	4029
55	236	3981
56	237	3929
57	238	3877
58	239	3827
59	241	3776
60	242	3732
61	243	3686
62	244	3642
63	247	3615
64	249	3583
65	250	3544
66	251	3505
67	252	3457
68	253	3418
69	254	3383
70	255	3347
71	257	3314
72	258	3284
73	259	3250
74	261	3227
75	263	3208
76	265	3178
77	266	3147
78	267	3118
79	268	3089
80	269	3061
81	271	3035
82	272	3009
83	273	2983
84	274	2953
85	276	2940
86	277	2917
87	279	2894
88	280	2872
89	281	2851
90	283	2829
91	284	2806
92	285	2784
93	286	2764
94	287	2743
95	289	2722
96	292	2719
97	293	2698
98	294	2680
99	295	2663
100	297	2644
101	297	2621
102	298	2602
103	300	2585
104	301	2567
105	302	2552
106	303	2536
107	307	2542
108	309	2528
109	310	2514
110	311	2498
111	313	2483
112	314	2468
113	315	2453
114	316	2438
115	317	2422
116	320	2415
117	322	2410
118	323	2394
119	324	2382
120	326	2370
121	327	2358
122	328	2341
123	329	2330
124	331	2319
125	333	2311
126	336	2311
127	337	2298
128	339	2288
129	340	2278
130	341	2267
131	343	2255
132	344	2245
133	346	2237
134	347	2226
135	348	2216
136	351	2214
137	352	2203
138	354	2193
139	355	2182
140	356	2173
141	358	2163
142	359	2156
143	361	2146
144	362	2138
145	367	2148
146	369	2144
147	371	2138
148	374	2137
149	377	2141
150	384	2161
151	389	2171
152	390	2162
153	391	2151
154	392	2141
155	394	2136
156	396	2129
157	397	2119
158	398	2109
159	400	2100
160	401	2092
161	402	2083
162	404	2074
163	405	2069
164	407	2061
165	409	2057
166	411	2052
167	412	2043
168	414	2037
169	416	2031
170	417	2026
171	419	2020
172	421	2013
173	422	2007
174	425	2004
175	426	1999
176	428	1993
177	430	1986
178	431	1981
179	433	1974
180	434	1965
181	436	1962
182	438	1958
183	441	1955
184	443	1954
185	445	1948
186	447	1946
187	451	1947
188	452	1943
189	457	1950
190	460	1950
191	462	1946
192	464	1943
193	466	1938
194	468	1933
195	471	1933
196	473	1931
197	476	1929
198	478	1926
199	480	1921
200	481	1915
201	483	1911
202	486	1908
203	487	1902
204	489	1897
205	495	1908
206	496	1903
207	499	1901
208	501	1897
209	503	1893
210	504	1887
211	506	1881
212	507	1875
213	509	1870
214	511	1866
215	512	1861
