iter	Passed	Remaining
0	161	161500
1	163	81700
2	166	55287
3	168	41880
4	169	33818
5	184	30637
6	191	27207
7	193	23965
8	194	21468
9	196	19468
10	198	17843
11	200	16545
12	202	15383
13	203	14366
14	205	13484
15	207	12749
16	208	12066
17	210	11477
18	212	10956
19	214	10489
20	215	10058
21	217	9664
22	219	9335
23	221	8999
24	222	8690
25	224	8426
26	227	8183
27	228	7943
28	230	7712
29	232	7503
30	235	7356
31	236	7165
32	238	6993
33	240	6840
34	242	6697
35	244	6546
36	246	6416
37	248	6291
38	250	6166
39	252	6049
40	253	5939
41	256	5857
42	260	5788
43	262	5697
44	263	5602
45	268	5562
46	270	5477
47	271	5393
48	273	5306
49	274	5222
50	276	5143
51	278	5070
52	279	4998
53	282	4957
54	285	4904
55	287	4843
56	289	4784
57	290	4723
58	293	4673
59	295	4625
60	298	4591
61	299	4535
62	301	4484
63	304	4447
64	305	4397
65	307	4344
66	308	4297
67	310	4250
68	312	4218
69	314	4178
70	315	4130
71	316	4085
72	319	4055
73	320	4013
74	322	3972
75	323	3931
76	324	3894
77	327	3876
78	329	3836
79	330	3801
80	331	3765
81	333	3735
82	334	3693
83	335	3660
84	337	3632
85	338	3601
86	340	3578
87	342	3547
88	343	3516
89	344	3486
90	346	3461
91	347	3433
92	349	3405
93	350	3377
94	351	3350
95	353	3324
96	354	3304
97	356	3281
98	357	3256
99	359	3231
100	360	3208
101	361	3184
102	363	3163
103	364	3140
104	365	3117
105	367	3095
106	368	3075
107	370	3057
108	371	3039
109	373	3023
110	375	3006
111	377	2994
112	379	2977
113	382	2970
114	383	2954
115	385	2939
116	387	2927
117	389	2914
118	391	2897
119	392	2879
120	394	2864
121	395	2844
122	396	2829
123	399	2820
124	401	2811
125	403	2799
126	404	2781
127	406	2767
128	408	2759
129	410	2745
130	411	2732
131	415	2731
132	418	2727
133	419	2712
134	421	2701
135	423	2688
136	424	2675
137	426	2663
138	427	2650
139	431	2650
140	432	2637
141	433	2621
142	435	2610
143	437	2598
144	438	2587
145	440	2579
146	448	2601
147	449	2588
148	451	2576
149	452	2565
150	454	2553
151	455	2542
152	457	2534
153	462	2540
154	465	2536
155	467	2528
156	468	2517
157	470	2509
158	472	2497
159	473	2487
160	474	2474
161	478	2473
162	480	2467
163	481	2456
164	485	2456
165	487	2447
166	489	2440
167	491	2431
168	492	2423
169	495	2417
170	498	2414
171	499	2404
172	501	2398
173	503	2388
174	505	2384
175	508	2380
176	512	2384
177	514	2375
178	517	2373
179	528	2407
180	530	2399
181	532	2392
182	534	2385
183	538	2388
184	540	2381
185	542	2374
186	544	2367
187	546	2359
188	550	2362
189	553	2359
190	555	2351
191	556	2342
192	558	2334
193	560	2329
194	562	2321
195	569	2334
196	571	2331
197	574	2328
198	576	2321
199	581	2327
200	583	2320
201	585	2312
202	586	2304
203	588	2297
204	591	2293
205	592	2285
206	598	2292
207	600	2285
208	601	2278
209	604	2273
210	606	2266
211	607	2258
212	611	2260
213	616	2262
214	617	2254
215	619	2248
216	620	2239
217	621	2230
218	623	2222
219	626	2222
220	629	2217
221	631	2212
222	632	2205
223	635	2200
224	637	2197
225	639	2191
226	641	2183
227	643	2177
228	644	2170
229	645	2162
230	647	2155
231	649	2150
232	652	2147
233	654	2142
234	656	2136
235	658	2130
236	660	2125
237	661	2118
238	663	2112
239	672	2130
240	674	2124
241	676	2117
242	677	2110
243	679	2105
244	681	2099
245	683	2095
246	685	2089
247	686	2082
248	688	2076
249	690	2070
250	691	2063
251	693	2058
252	694	2051
253	696	2046
254	698	2040
255	700	2034
256	708	2047
257	715	2057
258	716	2051
259	718	2044
260	720	2038
261	721	2033
262	723	2027
263	725	2022
264	727	2017
265	729	2012
266	730	2006
267	733	2003
268	735	1997
269	736	1991
270	738	1986
271	739	1980
272	742	1976
273	744	1972
274	745	1966
275	747	1961
276	750	1958
277	751	1951
278	754	1948
279	755	1943
280	757	1938
281	759	1934
282	761	1930
283	763	1924
284	765	1919
285	766	1914
286	768	1908
287	769	1902
288	770	1896
289	772	1891
290	775	1889
291	777	1885
292	779	1880
293	780	1875
294	783	1872
295	784	1866
296	793	1877
297	798	1880
298	799	1875
299	801	1869
300	803	1867
301	805	1862
302	807	1857
303	808	1852
304	810	1847
305	812	1842
306	814	1838
307	816	1833
308	818	1829
309	820	1826
310	821	1820
311	823	1815
312	826	1813
313	828	1810
314	832	1810
315	834	1806
316	836	1802
317	838	1797
318	839	1792
319	841	1787
320	842	1783
321	844	1778
322	848	1779
323	850	1774
324	852	1769
325	853	1764
326	855	1760
327	856	1755
328	858	1751
329	860	1746
330	861	1742
331	867	1745
332	869	1742
333	871	1737
334	873	1733
335	877	1734
336	879	1729
337	880	1725
338	884	1725
339	887	1723
340	895	1731
341	897	1726
342	899	1722
343	901	1718
344	902	1714
345	904	1710
346	906	1705
347	909	1704
348	911	1700
349	912	1695
350	914	1691
351	916	1686
352	917	1682
353	919	1677
354	920	1672
355	922	1668
356	923	1664
357	926	1661
358	928	1657
359	930	1654
360	932	1651
361	934	1646
362	936	1642
363	942	1646
364	944	1643
365	946	1639
366	948	1636
367	950	1632
368	952	1628
369	954	1625
370	956	1621
371	958	1617
372	960	1614
373	962	1610
374	963	1606
375	965	1602
376	967	1599
377	969	1595
378	971	1591
379	973	1588
380	975	1584
381	977	1580
382	980	1578
383	984	1579
384	986	1576
385	990	1575
386	993	1573
387	994	1569
388	996	1565
389	998	1561
390	1000	1558
391	1002	1554
392	1003	1549
393	1005	1545
394	1006	1541
395	1007	1537
396	1010	1534
397	1011	1530
398	1013	1527
399	1016	1524
400	1018	1521
401	1019	1517
402	1022	1514
403	1023	1510
404	1025	1506
405	1027	1503
406	1030	1500
407	1031	1497
408	1033	1493
409	1034	1489
410	1037	1486
411	1038	1482
412	1040	1478
413	1041	1474
414	1043	1470
415	1045	1467
416	1047	1463
417	1048	1460
418	1050	1456
419	1051	1452
420	1053	1449
421	1055	1445
422	1056	1441
423	1059	1438
424	1060	1435
425	1062	1431
426	1064	1429
427	1066	1425
428	1068	1421
429	1070	1418
430	1073	1416
431	1074	1413
432	1076	1409
433	1078	1406
434	1080	1403
435	1082	1400
436	1084	1396
437	1086	1393
438	1087	1390
439	1089	1386
440	1090	1382
441	1092	1379
442	1093	1375
443	1095	1371
444	1097	1368
445	1099	1366
446	1102	1364
447	1105	1361
448	1106	1358
449	1108	1355
450	1110	1351
451	1111	1347
452	1112	1343
453	1114	1340
454	1116	1337
455	1118	1334
456	1119	1330
457	1122	1328
458	1124	1325
459	1127	1323
460	1129	1320
461	1130	1316
462	1133	1314
463	1136	1312
464	1137	1309
465	1139	1306
466	1141	1302
467	1143	1299
468	1145	1296
469	1147	1293
470	1149	1290
471	1151	1287
472	1153	1285
473	1156	1283
474	1157	1279
475	1159	1276
476	1163	1276
477	1166	1273
478	1168	1270
479	1171	1269
480	1172	1265
481	1174	1262
482	1176	1259
483	1178	1256
484	1181	1254
485	1182	1251
486	1184	1247
487	1186	1244
488	1194	1248
489	1203	1252
490	1211	1256
